Cell,ATF3(+),ELF2(+),IRF8(+),IRF9(+),KDM5A(+),MEIS2(+),NFKB1(+),NFKB2(+),REL(+),RELB(+),STAT2(+),TAF1L(+),YY1(+),HIVEP3(+),IRF8(+),IRF9(+),NFKB1(+),REL(+),SREBF1(+),ELF2(+),IRF8(+),IRF9(+),KDM5A(+),NFKB1(+),REL(+),RELB(+),SREBF1(+),TAF1L(+),USF1(+),USF2(+),YY1(+),ZNF232(+),IRF8(+),OTX1(+),TAF1L(+),ARID3A(+),IRF8(+),IRF9(+),KDM5A(+),NFKB1(+),RELA(+),RELB(+),SREBF1(+),STAT2(+),TAF1L(+),ELF1(+),HIVEP3(+),IRF7(+),MAX(+),NFKB1(+),REL(+),RELB(+),STAT2(+),USF2(+),YY1(+)
HN28_P15_D06_S330_comb,0.08317245817245818,0.026041666666666668,0.014197232947232947,0.05331486042692939,0.0,0.0,0.0,0.0,0.0,0.0,0.08205049261083744,0.0,0.0,0.0,0.0,0.1405573593073593,0.0,0.0,0.0,0.026041666666666668,0.023133116883116884,0.1405573593073593,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012723214285714286,0.014019423558897242,0.0,0.0,0.0,0.12884424603174602,0.0,0.0,0.0,0.0,0.0,0.13005952380952382,0.0,0.04343377976190476,0.02144607843137255,0.015306122448979591,0.04198232323232323,0.014621126228269086,0.010831072935503316,0.029185867895545316,0.038075828157349896,0.0,0.0
HN28_P6_G05_S173_comb,0.17426801801801803,0.0,0.003338159588159588,0.0,0.0,0.0,0.02132936507936508,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.016904239766081873,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04360650510204082,0.0,0.0027636054421768708,0.007485569985569986,0.05073696145124717,0.024035563592525618,0.04459485407066052,0.03943452380952381,0.0,0.0124120670995671
HN26_P14_D11_S239_comb,0.07983429858429858,0.0,0.015725546975546977,0.0,0.036210317460317464,0.0,0.0,0.0,0.0,0.0,0.02355295566502463,0.0,0.0,0.15665584415584416,0.03232473544973545,0.0,0.0,0.0,0.0,0.0,0.05289502164502165,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.029092261904761905,0.007401315789473684,0.0,0.0,0.024243551587301588,0.0,0.0,0.0,0.0,0.0,0.0,0.045535714285714284,0.0,0.021298363095238096,0.04871323529411765,0.010522959183673469,0.022997835497835496,0.013274754346182917,0.007421639541892707,0.059019777265745005,0.034776138716356104,0.0,0.0
HN26_P14_H05_S281_comb,0.13734716859716858,0.03850446428571429,0.006796975546975547,0.0,0.030257936507936508,0.0,0.0,0.0,0.0,0.0,0.022372742200328408,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03850446428571429,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010338345864661654,0.0,0.0,0.0,0.008132309941520468,0.0,0.0,0.0,0.0,0.005357142857142857,0.0,0.0,0.0,0.0,0.0,0.0,0.05155187074829932,0.0,0.021736819727891158,0.023133116883116884,0.004794973544973545,0.011019439421338156,0.023233486943164364,0.030279503105590064,0.0,0.0
HN26_P25_H09_S189_comb,0.10778635778635778,0.0,0.022562741312741313,0.018883415435139574,0.09945436507936507,0.0,0.022123015873015874,0.0,0.0,0.03148496240601504,0.07204433497536945,0.0,0.0,0.2343073593073593,0.046378968253968256,0.049783549783549784,0.0,0.0,0.0,0.0,0.07589285714285714,0.049783549783549784,0.0,0.0,0.0,0.037388392857142856,0.0,0.0,0.0,0.0,0.0,0.0,0.041741071428571426,0.006239557226399331,0.0,0.0,0.03478422619047619,0.04563492063492063,0.0,0.0,0.0,0.08545918367346939,0.0,0.0751984126984127,0.0,0.0313031462585034,0.06994047619047619,0.009300595238095238,0.026019119769119768,0.02465986394557823,0.01829038577456299,0.06797235023041474,0.041634316770186336,0.0,0.0
HN26_P14_H06_S282_comb,0.07388191763191763,0.0,0.021597490347490346,0.07004310344827586,0.0,0.0,0.0,0.0,0.0,0.0,0.11104269293924467,0.0,0.0,0.22767857142857142,0.037533068783068786,0.16477272727272727,0.0,0.0,0.0,0.0,0.06141774891774892,0.16477272727272727,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0337797619047619,0.007388262322472848,0.0,0.0,0.028149801587301588,0.15104166666666666,0.0,0.0,0.0,0.0,0.0,0.11676587301587302,0.0,0.022401147959183673,0.03628326330532213,0.047884778911564625,0.021599927849927848,0.009991496598639456,0.00551913803496082,0.040706605222734255,0.038302277432712216,0.0,0.0
HN25_P25_C04_S316_comb,0.07098616473616473,0.0,0.0,0.11904761904761904,0.0,0.0,0.0,0.0,0.002976190476190476,0.024592731829573933,0.14685960591133004,0.0,0.019642857142857142,0.06615259740259741,0.0,0.3133116883116883,0.0,0.0,0.0,0.0,0.0,0.3133116883116883,0.0,0.0,0.0,0.029203869047619048,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00992063492063492,0.0,0.0,0.0,0.28720238095238093,0.0,0.0,0.0,0.0,0.0,0.23422619047619048,0.0,0.02852625425170068,0.0,0.01636904761904762,0.051722582972582976,0.013605442176870748,0.03247438215792646,0.04941916282642089,0.032091097308488616,0.0,0.004295183982683983
HN26_P25_A11_S107_comb,0.10867117117117117,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.028900375939849624,0.0,0.012967687074829932,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03431919642857143,0.0,0.018154761904761906,0.0,0.0,0.0,0.0,0.0,0.007805973266499582,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0784438775510204,0.0,0.0,0.0,0.04490858843537415,0.0,0.0,0.0,0.012755102040816327,0.020400090415913202,0.025033602150537633,0.0265916149068323,0.0,0.0
HN26_P25_C09_S129_comb,0.08751608751608751,0.0,0.0,0.04890188834154351,0.0,0.0,0.0042658730158730155,0.0,0.0,0.0,0.11930418719211823,0.0,0.0,0.25622294372294374,0.0,0.12892316017316016,0.0,0.0,0.0,0.0,0.0,0.12892316017316016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011382623224728487,0.0,0.0,0.0,0.11817956349206349,0.0,0.0,0.0,0.0,0.0,0.11180555555555556,0.0,0.03155559098639456,0.033876050420168065,0.015625,0.02259199134199134,0.015684051398337114,0.016161844484629293,0.05009120583717358,0.039563923395445136,0.0,0.0
HNSCC26_P24_H05_S377_comb,0.07158944658944659,0.0,0.009652509652509652,0.055008210180623976,0.041666666666666664,0.0,0.0006944444444444445,0.0,0.0,0.0,0.08292282430213464,0.0,0.0,0.17708333333333334,0.01984126984126984,0.14502164502164502,0.0,0.0,0.0,0.0,0.032467532467532464,0.14502164502164502,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.017857142857142856,0.012988199665831245,0.0,0.0,0.01488095238095238,0.13293650793650794,0.0,0.0,0.0,0.0,0.0,0.14156746031746031,0.0,0.020899766156462586,0.035845588235294115,0.02311862244897959,0.027507215007215008,0.014006991685563115,0.007534659433393611,0.05772369431643625,0.038755175983436856,0.0,0.0
