Lgals3,Sirpa
Selplg,Phex
Nmu,Crhr2
Nmu,Crhr1
Nmb,Tacr1
Cort,Crhr2
Sst,Crhr1
Nmu,Npffr1
Nmb,Crhr2
Nmb,Crhr1
Lgals3,Trem2
Nmb,Tacr3
Sst,Crhr2
Nmb,Npffr1
Pth,Crhr1
Cort,Crhr1
Fn1,Tlr2
Ptma,Crhr1
Ghrh,Crhr2
Nmb,Cckar
Pth,Crhr2
Nmb,Qrfpr
Ghrh,Crhr1
Nmb,Npy2r
Nmb,Tacr2
Nmu,Brs3
Mif,Dpp4
Lgals3,Havcr2
Sst,Tacr1
Nmb,Trhr
Nmb,Sstr4
Nmu,Tacr1
Fn1,Tlr4
Sst,Brs3
Hcrt,Tacr1
Lgals3,Pdcd1
Selplg,Kel
Nmu,Tacr3
Lgals3,Alcam
Nmb,Npffr2
Nmu,Prlhr
Nmu,Tacr2
Ptma,Crhr2
Nmu,Npffr2
Npy,Qrfpr
Lgals3,Lyve1
Nmu,Cckar
Hcrt,Tacr3
Nmu,Qrfpr
Sst,Qrfpr
Npy,Tacr3
Selplg,Dpp4
Nmb,Prlhr
Lgals9,Trem2
Sst,Tacr3
Selplg,Crhr2
Lgals3,Cxadr
Csf2,Il13ra2
Nmb,Kel
Nmu,Galr2
Npy,Tacr2
Selplg,Crhr1
Csf2,Il10rb
Nmu,Trhr
Npy,Brs3
Csf2,Il5ra
Hcrt,Tacr2
Sst,Tacr2
Sst,Npffr1
Nmu,Dpp4
Sst,Npy2r
Npy,Tacr1
Nmu,Npy2r
Adcyap1,Crhr1
Sst,Cckar
Adcyap1,Crhr2
Insl5,Kel
Nmb,Grpr
Nmu,Calcrl
Hcrt,Trhr
Mif,Alox5
Nmb,Ednra
Nmb,Galr2
Il21,Il10rb
Hcrt,Brs3
Hcrt,Npffr2
Lgals3,Nectin2
Il13,Il10rb
Hcrt,Crhr1
Hcrt,Crhr2
Insl5,Crhr1
Lgals9,Sirpa
Nmu,Kel
Galp,Crhr1
Lgals3,Cd28
Csf2,Cntfr
Hcrt,Npy2r
Hcrt,Qrfpr
Sst,Prlhr
Vwf,Tlr2
Cort,Tacr1
Mif,Fap
Nmb,Sstr1
Npy,Ednrb
Npy,Npffr2
Lgals3,Cd4
Sst,Trhr
Csf2,Il2rg
Nmb,Ednrb
Lgals3,Pvr
Insl5,Crhr2
Sst,Oprd1
Sst,Calcrl
Npy,Npffr1
Lgals9,Pdcd1
Npy,Ednra
Galp,Crhr2
Hcrt,Cckar
Sst,Galr2
Csf2,Il6ra
Lgals3,Cd200r1
Npy,Cckar
Insl5,Npbwr1
Lgals9,Cd28
Nmb,Sstr2
Agrp,Mc1r
Sst,Kel
Csf2,Il9r
Nmu,Gcgr
Nmb,Oprd1
Nmb,Phex
Npy,Galr2
Pth,Calcrl
Csf2,Il20rb
Omg,Tlr4
Lgals3,Mcam
Insl5,Aplnr
Cort,Brs3
Lgals9,Cd4
Npy,Trhr
Nmu,Aplnr
Il3,Cntfr
Nmu,Galr1
Il21,Csf2rb
Npy,Grpr
Galp,Tacr1
Iapp,Crhr1
Tac2,Crhr1
Csf2,Il22ra2
Nmu,Vipr1
Hcrt,Npffr1
Edn1,Phex
Nts,Tacr1
Nmb,Oprk1
Sst,Npffr2
Nmu,Ednra
Csf2,Il13ra1
Nmu,Ghsr
Lgals3,Fcgr1
Nmb,Npbwr1
Fn1,Gp1bb
Eda,Tnfrsf10b
Omg,Tlr2
Nmb,Sstr5
Hcrt,Ednra
Adcyap1,Calcrl
Lgals3,Nectin1
Nms,Crhr1
Cxcl12,Ccrl2
Iapp,Crhr2
Insl5,Tacr1
Il21,Csf2rb2
Selplg,Pth1r
Sst,Oprk1
Cort,Phex
Npy,Prlhr
Rln3,Npbwr1
Pth,Vipr1
Csf2,Il31ra
Nmb,Cckbr
Npy,Galr1
Grp,Tacr1
Tac2,Crhr2
Cxcl12,Xcr1
Csf2,Il11ra1
Nmu,Pth1r
Cort,Tacr3
Pth,Ramp3
Pth,Gipr
Lgals3,Cadm1
Csf2,Ifngr1
Nmu,Oprk1
Hcrt,Sstr4
Cort,Qrfpr
Cort,Tacr2
Adcyap1,Pth1r
Cxcl12,Procr
Csf2,Il2rb
Adcyap1,Phex
Il21,Il31ra
Nmu,Ednrb
Lgals3,Vsir
Nmb,Calcrl
Nmu,Grpr
Gal,Crhr2
Nmb,Galr1
Galp,Kel
Ptma,Tacr1
