RAMP3,CRCP
TLR3,ERBIN
ITGB5,ERBIN
TLR4,ERBIN
CORT,EDNRA
CORT,CCKBR
CORT,VIPR1
CORT,TRHR
CORT,CRHR1
CORT,AVPR1A
CORT,CALCRL
NRP1,LAMB1
NRP1,FLT4
NRP1,FLT4
NRP1,LAMB3
NRP1,LAMA3
NRP1,ERBIN
NRP2,FLT4
TLR2,ERBIN
GNRH1,CALCRL
ERBB2,MMRN1
ITGB3,ERBIN
ITGB2,ERBIN
CRH,VIPR1
CRH,SCTR
CRH,PTH1R
CRH,CALCRL
GRP,CALCRL
NMB,CALCRL
NMB,CALCRL
EDN3,CALCRL
ITGB6,ERBIN
TRH,CALCRL
NTF3,SORT1
ERBB3,MMRN1
FBLN1,ERBIN
RYK,FZD5
INSL3,IDE
FBLN2,ERBIN
IL20RB,IFNA8
LGR4,ERBIN
TGFBR2,GDF10
TGFBR2,BMPR2
LAMB4,SEMG2
LEP,PIP
LEP,IL10RA
NPY,HLA-DQB1
NPY,CALCRL
NPY,HLA-DQB1
NPY,HLA-DQB1
AgRP,MC1R
LILRB2,FCGR2A
LOX,FBLN1
LOX,MYOC
SERPINA1,FN1
SERPINA1,TGM4
INS,ERBB4
INS,ERBB4
MIF,SELPLG
MIF,SDF2
MIF,ERBIN
MIF,SDF2L1
MIF,TFIP11
FLT1,PDGFA
FLT1,PTPRK
AIP,ERBIN
TLR4,ERBB4
TLR4,ERBB4
CORT,EDNRB
CORT,EDNRB
CORT,TACR1
CORT,NPY1R
CORT,TACR3
CORT,OPRM1
CORT,GALR1
CORT,SCTR
CORT,NPY2R
CORT,PTH1R
CORT,NPY5R
CORT,NPFFR1
CORT,NMUR1
CORT,UTS2R
CCN1,GPC1
NRP1,PLXNB2
NRP1,LAMA5
NRP1,MET
NRP1,LAMA2
NRP1,LAMA1
NRP1,LAMB2
NRP1,TEK
NRP1,LAMC3
PLSCR1,ERBIN
NRP2,LAMB1
NRP2,TEK
NRP2,LAMB3
NRP2,LAMA3
NRP2,LAMC3
TLR2,ERBB4
TLR2,ERBB4
SNX2,IDE
SNX2,BMPR2
MEGF6,ERBIN
LRP5,FZD5
LRP5,FZD2
IL18RAP,IL1RAP
UTS2,CALCRL
EFEMP2,ERBIN
EGFR,PTPRB
EGFR,NRG1
EGFR,TEK
EGFR,MMRN1
EGFR,KL
A2M,TGFB2
A2M,CPB2
LDLR,YARS1
GNRH1,CCKBR
GNRH1,VIPR1
GNRH1,AVPR1A
GNRH1,SCTR
CGA,GFRA1
CGA,GFRA1
LHB,FSHR
VIP,CALCRL
IGF2,ERBB4
IGF2,ERBB4
COL1A1,GPC4
COL1A1,GPC1
COL1A1,DDR1
CRP,FCN1
TF,CTSB
TF,CD44
TF,AZGP1
FGF1,FGFBP1
APOB,FBN1
APOB,FBN2
APOB,DCC
APOB,NEO1
CD74,CALCRL
ERBB2,TEK
ERBB2,PKD1L3
WNT1,GPC1
IGF1,IDE
IGF1,ERBB4
IGF1,ERBB4
IGF1,ERBB4
IGF1,ERBB4
ITGB2,ERBB2
ITGB2,ERBB3
ITGB2,ERBB4
ITGB2,ERBB4
EDN1,CRELD2
COL5A2,GPC1
CRH,CCKBR
CRH,AVPR1A
GRP,CALCRL
CTSB,KNG1
LAMB1,LAMB1
LAMB1,DCC
LAMB1,NEO1
COL1A2,ACHE
COL4A2,GPC4
COL4A2,MAG
COL4A2,MAG
COL4A2,ACHE
COL4A2,GPC1
COL4A2,DDR1
COL4A2,DDR1
COL4A2,ADAMTSL4
NMB,CCKBR
NMB,TRHR
NMB,AVPR1A
MMP7,IGFBP3
MMP7,IGFBP6
MMP7,WFDC2
CD48,IL1RAP
PDGFRB,PTPRC
PDGFRB,KL
PYY,CALCRL
PTPRF,DCC
PTPRF,CNTN1
PTPRF,NEO1
PTPRF,NTN4
PTPRF,DCC
PTPRF,NEO1
PTPRF,NTN4
FGF6,FGFBP1
LAMC1,LAMA5
BMP4,MGP
BMP4,BMP6
BMP4,GDF6
BMP4,TGFBR2
CDH1,DCC
CDH1,NTNG1
TDGF1,GPC4
BMP1,DLG1
BMP1,DLG1
BMP1,ERBIN
BMP1,DLG1
BMP1,DLG1
EDN3,VIPR1
EDN3,SCTR
EDN3,PTH1R
EDN3,CRELD2
ELN,ANXA7
ELN,ANXA7
ELN,PAPPA
PDGFRA,PDGFA
PDGFRA,PTPRC
PDGFRA,PTPRB
PDGFRA,PTPRK
PDGFRA,KL
NPPB,CRELD2
TAC1,PTH1R
TAC1,CALCRL
TAC1,CALCRL
TAC1,CRELD2
TRH,VIPR1
TRH,AVPR1A
TRH,SCTR
TRH,PTH1R
NTF3,SORT1
GRK2,PTCH2
ERBB3,PTPRB
ERBB3,PTPRJ
ERBB3,LPAR4
ERBB3,KL
PTPRD,DCC
PTPRD,NEO1
LAMA2,LAMA3
GRK2,PTCH2
LAMA1,LAMA3
ITGB7,ERBIN
IL1R2,IL18R1
AOAH,ICAM4
CCN2,GPC1
EPHA3,RYK
LRPAP1,LDLR
LRPAP1,LRP8
NTF4,SORT1
NTF4,SORT1
RYK,GPC1
RYK,WNT3
RYK,FZD4
FBN1,RPSA
FBN1,DCC
FBN1,ANKAR
KDR,PTPRC
KDR,PTPRB
KDR,PTPRK
KDR,KL
BMPR1A,ACVR2A
IFNAR2,IL27
INSL3,ERBB4
INSL3,ERBB4
HNRNPM,ERBB2
HNRNPM,ERBB3
HNRNPM,ERBIN
HNRNPM,UGGT1
HNRNPM,TAOK2
HNRNPM,ERBB2
HNRNPM,ERBB3
HNRNPM,ERBB4
HNRNPM,ERBB4
HNRNPM,ERBIN
LAMB2,SEMG2
WNT4,GPC1
RELN,ERBIN
LRP2,DLG1
SEMG2,SEMG2
NOTCH2,NOTCH3
NOTCH2,COL17A1
LGALS3BP,ERBIN
IL18R1,IL1RAP
IL16,ERBIN
IL16,ERBIN
AMHR2,BMPR2
AMHR2,GDF6
IL23R,IL27
IL20RB,IL22
IL22RA1,IFNA8
IL22RA1,IL27
SEMA6D,PLXNB1
GLG1,NAV2
TGFBR2,ERBB2
TGFBR2,MGP
TGFBR2,GDF6
TGFBR2,ADIPOR1
LAMB4,DCC
LAMB4,LAMA3
LEP,PRLR
LEP,IFNLR1
LEP,IL31RA
LEP,IL20RA
LEP,DKKL1
NPY,IDE
BMP2,BMP6
LILRB2,HLA-B
LILRB2,FCGR3A
LILRB2,CD28
LILRB2,FCGR2A
LILRB2,HLA-G
LOX,ELN
LOX,nan
COL18A1,GPC4
VTN,MYOC
NR3C1,IL25
ESR1,NR1D1
ESR1,IL5
ESR1,IDE
INS,IGF1R
MIF,CTSB
MIF,HSP90B1
MIF,NAXE
FLT1,PTPRC
FLT1,TEK
FLT1,PTPRU
FLT1,KL
ITGB5,ERBB2
ITGB5,ERBB3
ITGB5,ERBB4
ITGB5,ERBB4
CORT,GPR182
CORT,AVPR2
CORT,MC4R
CORT,ADM
CORT,CRELD2
BMPR1B,ACVR2B
AGRN,ERBIN
DLL1,ERBIN
NRP1,PDGFA
NRP1,LAMC1
NRP1,MMRN1
NRP1,SEMA4C
NRP1,NTN4
ANGPT2,GPC1
NPFF,CRELD2
GPR182,TAC3
LAMA5,LAMA3
LAMA5,COL17A1
GRIN2D,DLG1
GRIN2D,DLG1
VEGFD,GPC1
NRP2,LAMA5
NRP2,KDR
NRP2,LAMB2
CUBN,MFAP5
PSPN,INHBE
TLR2,ERBB2
TLR2,MBL2
TLR2,ERBB3
SNX2,IL17RC
SNX2,UGGT1
MEGF6,ERBB3
MEGF6,ERBB4
MEGF6,ERBB4
LRP5,FZD8
GDF11,ACVRL1
GDF11,BMPR2
GDF11,AMHR2
GDF11,TGFBR2
UTS2,CCKBR
UTS2,VIPR1
UTS2,AVPR1A
UTS2,PTH1R
GLP2R,PTH2
EGFR,NRP1
EGFR,PDGFA
EGFR,RYK
EGFR,AGTR2
EGFR,NRG1
EGFR,NRG1
EGFR,PTPRK
EGFR,NRG1
EGFR,PKD1L3
EGFR,CUL5
EGFR,LPAR4
